Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
AUDI;AUDI A1 SPB 1.4TFSI SP;TABELA A – CARROS;106176,00;G;;;;;;;;;;;;R$ 87.559,00;R$ 78.963,00;R$ 67.827,00;R$ 65.686,00;;;;;;;;;;
AUDI;AUDI A5 CP 2.0TFSI;TABELA A – CARROS;106162,00;G;;;;;;;;;;;;;;R$ 141.453,00;R$ 138.181,00;;;;;;;;;;
AUDI;AUDI A4 2.0TFSI;TABELA A – CARROS;106169,00;G;;;;;;;;;;;R$ 94.909,00;R$ 90.477,00;R$ 86.252,00;R$ 73.398,00;R$ 65.763,00;;;;;;;;;;
AUDI;AUDI A4 CABRIOLET 3.0;TABELA A – CARROS;106057,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 76.480,00;R$ 74.536,00
AUDI;AUDI A4 AVANT 2.0T FSI;TABELA A – CARROS;106071,00;G;;;;;;;;;;;;R$ 133.862,00;;;;;;;R$ 52.285,00;R$ 45.032,00;R$ 44.363,00;;;;
AUDI;AUDI A6 ALLROAD 2.7T;TABELA A – CARROS;106047,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 46.113,00;R$ 33.803,00;R$ 29.654,00
AUDI;AUDI A4 3.0;TABELA A – CARROS;106049,00;G;;;;;;;;;;;;;;;;;;;;;R$ 49.012,00;R$ 41.553,00;R$ 36.815,00;R$ 31.749,00;R$ 29.299,00
AUDI;AUDI A4 2.0;TABELA A – CARROS;106050,00;G;;;;;;;;;;;;;;;;;;;;;R$ 31.774,00;;;R$ 26.470,00;R$ 23.104,00
AUDI;AUDI A6 3.0;TABELA A – CARROS;106051,00;G;;;;;;;;;;;;;;;;;;;;;R$ 55.169,00;R$ 52.935,00;R$ 41.448,00;R$ 30.803,00;R$ 24.932,00
AUDI;AUDI A6 AVANT 3.0;TABELA A – CARROS;106052,00;G;;;;;;;;;;;;;;;;;;;;;R$ 63.540,00;R$ 61.470,00;;;R$ 30.211,00
AUDI;AUDI A4 AVANT 3.0;TABELA A – CARROS;106053,00;G;;;;;;;;;;;;;;;;;;;;;R$ 49.100,00;R$ 43.429,00;R$ 36.776,00;R$ 30.539,00;R$ 27.276,00
AUDI;AUDI A6 4.2;TABELA A – CARROS;106044,00;G;;;;;;;;;;;;;;;;;;;;;R$ 82.632,00;R$ 65.217,00;R$ 61.684,00;R$ 45.766,00;R$ 39.784,00
AUDI;AUDI A4 CABRIOLET 1.8T;TABELA A – CARROS;106056,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 67.950,00;;
AUDI;AUDI A6 AVANT 4.2;TABELA A – CARROS;106043,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 85.994,00;;;
AUDI;AUDI A6 2.7T SECURITY;TABELA A – CARROS;106060,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 36.254,00;R$ 33.661,00
